anni,pane,pasta,riso,patate,carne.bovi,carne.sui,salame,uova,latte,burro,lardo,olio.extra.oliva,olio.oliva ,vino,caffe,zucchero
1861, 1.88 , 2.77 , 1.97 , 0.54 , 4.03 , 5.10 ,, 0.27 , 1.07 , 11.00 , 7.16 ,, 6.62 , 3.04 , 10.20 , 6.89 
1862, 1.78 , 2.58 , 1.87 , 0.53 , 3.82 , 5.33 ,, 0.36 , 1.16 , 11.65 , 8.09 ,, 7.11 , 2.93 , 10.14 , 6.85 
1863, 1.74 , 2.56 , 1.83 , 0.55 , 4.49 , 5.31 ,, 0.27 , 1.10 , 11.54 , 8.24 ,, 6.50 , 3.11 , 10.44 , 7.05 
1864, 1.79 , 2.54 , 1.98 , 0.56 , 4.33 , 5.74 ,, 0.28 , 1.32 , 11.58 , 8.10 ,, 6.40 , 2.64 , 10.73 , 7.25 
1865, 1.63 , 2.39 , 2.11 , 0.67 , 4.50 , 5.84 ,, 0.29 , 1.15 , 11.49 , 7.56 ,, 6.13 , 2.78 , 10.92 , 7.37 
1866, 1.80 , 2.65 , 2.18 , 0.76 , 4.45 , 5.50 ,, 0.28 , 1.14 , 11.37 , 7.39 ,, 6.54 , 2.65 , 11.09 , 5.88 
1867, 2.03 , 2.96 , 2.22 , 0.65 , 4.53 , 5.92 ,, 0.28 , 1.11 , 10.64 , 7.95 ,, 6.47 , 2.77 , 9.99 , 5.46 
1868, 2.13 , 3.11 , 2.13 , 0.71 , 4.53 , 6.58 ,, 0.27 , 1.07 , 11.29 , 9.51 ,, 6.31 , 2.76 , 9.60 , 5.25 
1869, 1.86 , 2.65 , 1.94 , 0.53 , 4.60 , 7.16 ,, 0.35 , 1.06 , 12.73 , 8.40 ,, 6.27 , 3.18 , 9.54 , 5.21 
1870, 1.83 , 2.70 , 1.66 , 0.52 , 4.62 , 6.62 ,, 0.35 , 1.05 , 12.81 , 7.40 ,, 6.01 , 3.40 , 9.41 , 5.14 
1871, 1.94 , 3.04 , 1.94 , 0.59 , 4.56 , 6.42 ,, 0.34 , 1.10 , 12.42 , 6.93 ,, 5.83 , 2.45 , 10.82 , 5.49 
1872, 1.94 , 2.99 , 2.02 , 0.45 , 4.56 , 6.06 ,, 0.30 , 1.05 , 12.34 , 8.15 ,, 5.46 , 2.92 , 11.96 , 4.86 
1873, 1.90 , 3.10 , 2.05 , 0.71 , 4.80 , 6.84 ,, 0.28 , 0.99 , 11.64 , 7.76 ,, 5.43 , 2.75 , 14.04 , 4.58 
1874, 1.93 , 3.17 , 2.00 , 0.69 , 4.68 , 6.75 ,, 0.28 , 0.96 , 11.36 , 7.37 ,, 5.30 , 2.69 , 13.71 , 5.23 
1875, 1.77 , 2.49 , 2.33 , 0.48 , 4.91 , 6.60 ,, 0.32 , 1.29 , 13.19 , 9.33 ,, 5.63 , 2.09 , 15.12 , 5.79 
1876, 1.82 , 2.43 , 2.28 , 0.53 , 4.56 , 6.16 ,, 0.30 , 1.29 , 12.01 , 8.21 ,, 5.32 , 2.89 , 13.76 , 5.47 
1877, 1.83 , 2.78 , 2.19 , 0.73 , 4.46 , 6.28 ,, 0.29 , 1.10 , 11.54 , 8.11 ,, 5.70 , 2.78 , 13.81 , 5.26 
1878, 1.82 , 2.58 , 2.12 , 0.61 , 4.63 , 6.45 ,, 0.30 , 1.14 , 11.99 , 8.27 ,, 6.37 , 2.20 , 14.34 , 6.22 
1879, 1.84 , 2.61 , 2.15 , 0.77 , 4.69 , 6.61 ,, 0.31 , 1.23 , 12.21 , 7.83 ,, 5.84 , 2.23 , 14.52 , 6.14 
1880, 1.85 , 2.67 , 2.07 , 0.74 , 4.89 , 6.67 ,, 0.30 , 1.26 , 12.00 , 8.15 ,, 5.71 , 2.30 , 14.00 , 6.59 
1881, 1.74 , 2.69 , 2.06 , 0.71 , 5.47 , 7.29 ,, 0.32 , 1.35 , 11.88 , 9.03 ,, 5.54 , 2.46 , 12.99 , 6.73 
1882, 1.70 , 2.43 , 2.11 , 0.65 , 5.44 , 8.20 ,, 0.32 , 1.30 , 12.17 , 9.17 ,, 5.44 , 2.52 , 12.09 , 6.90 
1883, 1.68 , 2.26 , 2.18 , 0.59 , 5.62 , 7.38 ,, 0.34 , 1.43 , 12.57 , 9.81 ,, 5.70 , 2.35 , 12.32 , 6.79 
1884, 1.54 , 2.31 , 2.22 , 0.60 , 5.90 , 7.27 ,, 0.34 , 1.45 , 12.74 , 8.81 ,, 6.24 , 2.22 , 12.57 , 6.33 
1885, 1.51 , 2.26 , 2.01 , 0.59 , 5.69 , 7.28 ,, 0.33 , 1.42 , 12.21 , 7.44 ,, 6.11 , 2.93 , 12.29 , 6.02 
1886, 1.51 , 2.26 , 2.01 , 0.59 , 5.61 , 7.28 ,, 0.33 , 1.42 , 12.06 , 7.20 ,, 6.11 , 3.01 , 13.65 , 6.03 
1887, 1.59 , 2.27 , 2.10 , 0.59 , 5.20 , 7.30 ,, 0.34 , 1.26 , 12.34 , 8.06 ,, 5.87 , 2.52 , 17.12 , 6.04 
1888, 1.57 , 2.24 , 2.24 , 0.58 , 5.30 , 6.80 ,, 0.33 , 1.33 , 12.18 , 7.29 ,, 5.80 , 2.32 , 17.32 , 6.63 
1889, 1.63 , 2.20 , 2.28 , 0.57 , 5.38 , 6.68 ,, 0.33 , 1.22 , 11.98 , 8.07 ,, 5.62 , 2.20 , 17.20 , 6.68 
1890, 1.57 , 2.12 , 2.12 , 0.55 , 5.82 , 6.45 , 10.00 , 0.31 , 1.18 , 11.33 , 7.87 ,, 5.43 , 2.52 , 17.47 , 6.14 
1891, 1.58 , 2.13 , 2.13 , 0.47 , 6.08 , 6.47 , 9.55 , 0.32 , 1.18 , 11.05 , 7.90 ,, 5.45 , 2.37 , 17.53 , 6.16 
1892, 1.67 , 2.15 , 2.23 , 0.56 , 5.97 , 6.53 , 10.27 , 0.32 , 1.12 , 11.63 , 7.96 ,, 5.65 , 1.99 , 17.68 , 6.29 
1893, 1.55 , 2.12 , 2.12 , 0.41 , 6.02 , 6.68 , 10.50 , 0.33 , 1.22 , 11.80 , 7.65 ,, 5.78 , 2.04 , 18.15 , 6.43 
1894, 1.47 , 2.04 , 2.13 , 0.49 , 5.89 , 6.71 , 10.22 , 0.33 , 1.14 , 12.02 , 7.69 ,, 5.64 , 2.13 , 18.97 , 6.95 
1895, 1.48 , 1.97 , 2.14 , 0.49 , 5.92 , 6.74 , 10.53 , 0.33 , 1.15 , 12.01 , 7.73 ,, 5.59 , 2.14 , 19.08 , 6.58 
1896, 1.49 , 1.98 , 2.15 , 0.66 , 5.86 , 6.77 , 10.66 , 0.33 , 1.16 , 11.98 , 7.76 ,, 5.37 , 2.31 , 18.75 , 6.61 
1897, 1.49 , 2.15 , 2.24 , 0.50 , 5.71 , 6.37 , 10.68 , 0.33 , 1.08 , 12.25 , 6.87 ,, 5.38 , 2.07 , 18.05 , 6.62 
1898, 1.64 , 2.14 , 2.22 , 0.49 , 5.51 , 6.33 , 10.69 , 0.33 , 1.15 , 11.76 , 6.83 ,, 5.92 , 2.06 , 17.10 , 6.58 
1899, 1.67 , 2.26 , 2.17 , 0.50 , 5.60 , 6.43 , 10.44 , 0.33 , 1.17 , 11.70 , 6.35 ,, 5.85 , 2.09 , 15.79 , 6.68 
1900, 1.66 , 2.16 , 2.08 , 0.50 , 5.57 , 6.40 , 10.98 , 0.33 , 1.08 , 11.81 , 6.24 ,, 6.32 , 2.08 , 15.72 , 6.65 
1901, 1.58 , 2.16 , 2.08 , 0.50 , 5.73 , 6.65 , 11.05 , 0.33 , 1.08 , 12.21 , 6.56 ,, 6.40 , 2.08 , 15.45 , 6.65 
1902, 1.59 , 2.17 , 2.09 , 0.50 , 5.85 , 6.69 , 11.21 , 0.42 , 1.17 , 12.04 , 7.03 ,, 6.02 , 2.01 , 14.80 , 6.36 
1903, 1.54 , 1.95 , 2.03 , 0.57 , 5.60 , 6.99 , 11.29 , 0.41 , 1.14 , 11.86 , 7.64 ,, 5.77 , 1.95 , 13.81 , 6.01 
1904, 1.44 , 1.93 , 1.93 , 0.72 , 5.70 , 7.54 , 11.24 , 0.40 , 1.04 , 11.80 , 7.30 ,, 5.30 , 1.93 , 13.48 , 5.86 
1905, 1.44 , 1.92 , 1.92 , 0.56 , 6.01 , 7.54 , 11.54 , 0.40 , 1.04 , 11.62 , 7.13 ,, 5.53 , 1.92 , 13.47 , 6.17 
1906, 1.42 , 1.89 , 1.97 , 0.55 , 5.98 , 7.16 , 11.33 , 0.39 , 1.10 , 11.73 , 7.00 ,, 5.12 , 1.97 , 13.46 , 5.98 
1907, 1.35 , 1.88 , 1.88 , 0.53 , 5.71 , 6.46 , 10.82 , 0.38 , 1.05 , 11.35 , 6.84 ,, 5.26 , 1.95 , 12.78 , 5.71 
1908, 1.37 , 2.05 , 1.90 , 0.61 , 5.77 , 7.37 , 11.62 , 0.38 , 1.14 , 11.77 , 7.06 ,, 5.47 , 1.75 , 13.29 , 5.77 
1909, 1.48 , 2.11 , 2.03 , 0.62 , 6.48 , 7.81 , 11.87 , 0.39 , 1.17 , 12.50 , 7.42 ,, 7.81 , 1.48 , 13.44 , 5.94 
1910, 1.52 , 2.05 , 1.98 , 0.68 , 6.31 , 8.21 , 12.85 , 0.38 , 1.29 , 12.31 , 8.13 ,, 7.07 , 1.60 , 13.00 , 5.85 
1911, 1.56 , 1.93 , 1.85 , 0.74 , 6.82 , 7.79 , 13.35 , 0.45 , 1.26 , 12.16 , 7.64 ,, 7.49 , 2.45 , 14.09 , 5.86 
1912, 1.47 , 2.06 , 1.84 , 0.66 , 7.20 , 7.72 , 13.16 , 0.44 , 1.25 , 12.49 , 7.57 ,, 7.06 , 2.65 , 15.43 , 6.10 
1913, 1.54 , 2.05 , 1.91 , 0.51 , 6.67 , 7.92 , 13.57 , 0.44 , 1.25 , 12.69 , 8.22 ,, 7.04 , 2.35 , 15.62 , 5.79 
1914, 1.54 , 2.05 , 1.83 , 0.59 , 6.67 ,, 13.50 , 0.44 , 1.32 , 12.62 , 7.56 ,, 6.97 , 1.69 , 14.96 , 5.35 
1915, 1.71 , 2.33 , 1.85 , 0.55 , 7.27 ,, 13.37 , 0.48 , 1.23 , 12.82 , 8.36 ,, 6.79 , 1.99 , 14.46 , 5.28 
1916, 1.42 , 2.25 , 1.59 , 0.55 , 7.94 ,, 13.70 , 0.49 , 1.15 , 12.38 , 7.94 ,, 6.79 , 3.18 , 13.20 , 5.97 
1917, 1.08 , 1.78 , 1.47 , 0.77 , 7.47 ,, 15.99 , 0.58 , 1.16 , 13.75 , 10.07 ,, 6.93 , 2.40 , 12.66 , 6.35 
1918, 0.92 , 1.39 , 1.33 , 1.03 , 12.00 , 12.97 , 24.14 , 0.83 , 1.42 , 14.11 , 10.33 ,, 6.83 , 2.31 , 15.97 , 6.19 
1919, 1.01 , 1.53 , 1.59 , 0.79 , 11.87 , 13.57 , 24.60 , 0.68 , 1.42 , 17.32 , 11.76 ,, 7.61 , 2.85 , 22.11 , 6.62 
1920, 0.90 , 1.33 , 1.58 , 0.69 , 10.37 , 11.95 , 19.70 , 0.60 , 1.44 , 18.03 , 11.91 ,, 11.70 , 2.79 , 23.59 , 6.04 
1921, 1.28 , 1.95 , 1.87 , 0.74 , 11.77 , 10.52 , 18.88 , 0.60 , 1.50 , 18.46 , 10.56 ,, 10.19 , 2.34 , 21.56 , 5.68 
1922, 1.47 , 2.12 , 1.93 , 0.87 , 11.15 , 9.68 , 18.18 , 0.60 , 1.56 , 18.84 , 8.20 ,, 8.52 , 2.25 , 21.81 , 5.72 
1923, 1.35 , 2.01 , 2.10 , 0.77 , 10.35 , 9.92 , 18.20 , 0.55 , 1.44 , 17.51 , 8.99 ,, 7.03 , 2.19 , 22.47 , 6.05 
1924, 1.36 , 2.01 , 2.05 , 0.71 , 11.08 , 10.99 , 18.18 , 0.58 , 1.36 , 17.70 , 9.91 ,, 7.35 , 1.70 , 23.84 , 5.81 
1925, 1.73 , 2.40 , 2.22 , 0.67 , 10.73 , 10.34 , 17.27 , 0.57 , 1.27 , 16.91 , 9.94 ,, 7.81 , 1.64 , 26.66 , 5.74 
1926, 2.21 , 3.14 , 3.05 , 0.71 , 11.53 , 8.86 , 15.87 , 0.54 , 1.29 , 15.73 , 8.49 ,, 8.19 , 1.86 , 25.99 , 5.47 
1927, 1.99 , 3.04 , 2.31 , 0.75 , 10.00 , 8.71 , 16.23 , 0.51 , 1.27 , 15.17 , 7.52 ,, 8.46 , 2.14 , 25.74 , 5.88 
1928, 1.89 , 2.83 , 2.28 , 0.77 , 9.18 , 9.35 , 17.94 , 0.50 , 1.22 , 15.20 , 8.11 ,, 7.91 , 2.21 , 25.43 , 5.98 
1929, 1.83 , 2.79 , 2.28 , 0.81 , 10.26 , 9.75 , 18.45 , 0.53 , 1.27 , 15.12 , 8.72 ,, 6.84 , 2.18 , 25.84 , 5.87 
1930, 1.94 , 2.86 , 2.04 , 0.61 , 12.06 , 9.88 , 18.92 , 0.46 , 1.26 , 14.37 , 8.16 ,, 5.25 , 2.09 , 27.28 , 5.89 
1931, 1.85 , 2.85 , 1.81 , 0.77 , 10.93 , 8.75 , 18.08 , 0.45 , 1.23 , 13.59 , 6.81 ,, 6.07 , 1.90 , 28.71 , 6.28 
1932, 1.94 , 2.88 , 2.19 , 0.72 , 9.60 , 8.27 , 16.92 , 0.41 , 1.20 , 12.72 , 6.62 ,, 5.63 , 1.65 , 29.21 , 6.45 
1933, 2.00 , 2.98 , 2.20 , 0.49 , 9.77 , 9.22 , 17.32 , 0.43 , 1.17 , 11.95 , 7.88 ,, 5.21 , 1.71 , 30.72 , 6.83 
1934, 1.87 , 2.91 , 2.15 , 0.56 , 10.07 , 9.35 , 16.94 , 0.43 , 1.11 , 11.82 , 7.81 ,, 5.97 , 1.78 , 31.28 , 7.18 
1935, 1.95 , 2.91 , 2.22 , 0.66 , 10.16 , 8.90 , 16.02 , 0.43 , 1.09 , 12.73 , 7.57 ,, 6.46 , 1.90 , 31.51 , 6.97 
1936, 1.97 , 2.90 , 2.25 , 0.66 , 10.06 , 8.57 , 14.88 , 0.46 , 1.07 , 12.71 , 7.48 ,, 6.50 , 1.65 , 31.98 , 6.34 
